,datetime,avg_price
0,2019-12-27,127.5
1,2019-12-28,127.0
2,2019-12-29,129.5
3,2019-12-30,132.5
4,2019-12-31,130.0
5,2020-01-01,130.0
6,2020-01-02,130.0
7,2020-01-03,130.0
8,2020-01-04,131.5
9,2020-01-05,132.5
10,2020-01-06,137.5
11,2020-01-07,132.5
12,2020-01-08,135.0
13,2020-01-09,139.5
14,2020-01-10,134.5
15,2020-01-11,137.0
16,2020-01-12,128.5
17,2020-01-13,132.5
18,2020-01-14,130.0
19,2020-01-15,136.5
20,2020-01-16,137.5
21,2020-01-17,140.0
22,2020-01-18,139.0
23,2020-01-19,137.5
24,2020-01-20,140.0
25,2020-01-21,140.0
26,2020-01-22,131.0
27,2020-01-23,142.5
28,2020-01-24,142.5
29,2020-01-25,140.0
30,2020-01-26,140.0
31,2020-01-27,142.5
32,2020-01-28,142.5
33,2020-01-29,147.0
34,2020-01-30,144.5
35,2020-01-31,146.5
36,2020-02-01,142.5
37,2020-02-02,140.0
38,2020-02-03,150.0
39,2020-02-04,142.5
40,2020-02-05,139.0
41,2020-02-06,137.5
42,2020-02-07,140.0
43,2020-02-08,142.5
44,2020-02-09,145.0
45,2020-02-10,147.5
46,2020-02-11,146.5
47,2020-02-12,136.5
48,2020-02-13,142.5
49,2020-02-14,127.5
50,2020-02-15,134.5
51,2020-02-16,142.0
52,2020-02-17,144.5
53,2020-02-18,142.5
54,2020-02-19,140.0
55,2020-02-20,142.5
56,2020-02-21,142.5
57,2020-02-22,140.5
58,2020-02-23,142.5
59,2020-02-24,147.0
60,2020-02-25,142.5
61,2020-02-26,149.0
62,2020-02-27,142.5
63,2020-02-28,142.5
64,2020-02-29,142.5
65,2020-03-01,142.5
66,2020-03-02,149.5
67,2020-03-03,149.0
68,2020-03-04,145.0
69,2020-03-05,147.0
70,2020-03-06,145.0
71,2020-03-07,148.5
72,2020-03-08,148.5
73,2020-03-09,145.0
74,2020-03-10,149.0
75,2020-03-11,149.0
76,2020-03-12,149.5
77,2020-03-13,150.0
78,2020-03-14,145.0
79,2020-03-15,149.5
80,2020-03-16,149.0
81,2020-03-17,148.5
82,2020-03-18,148.0
83,2020-03-19,149.0
84,2020-03-20,150.0
85,2020-03-21,147.0
86,2020-03-22,147.5
87,2020-03-23,148.5
88,2020-03-24,151.0
