,datetime,avg_price,volume,day_before,yn_before,lank
0,2020-01-13,150.0,25,0.0,-,0.0
1,2020-01-14,150.3,30,0.3,▲,1.0
2,2020-01-15,150.9,45,0.6,▲,2.0
3,2020-01-16,152.5,21,1.6,▲,3.0
4,2020-01-17,153.6,32,1.1,▲,4.0
5,2020-01-18,152.4,22,-1.2,▼,3.0
6,2020-01-19,152.8,34,0.4,▲,4.0
7,2020-01-20,154.3,37,1.5,▲,5.0
8,2020-01-21,152.8,21,-1.5,▼,4.0
9,2020-01-22,152.8,35,0.0,-,4.0
10,2020-01-23,153.0,23,0.2,▲,5.0
11,2020-01-24,153.4,22,0.4,▲,6.0
12,2020-01-25,151.0,31,-2.4,▼,5.0
13,2020-01-26,152.0,25,1.0,▲,6.0
14,2020-01-27,153.5,20,1.5,▲,7.0
15,2020-01-28,155.2,33,1.7,▲,8.0
16,2020-01-29,156.3,37,1.1,▲,9.0
17,2020-01-30,159.2,18,2.9,▲,10.0
18,2020-01-31,161.7,25,2.5,▲,11.0
19,2020-02-01,161.7,48,0.0,-,11.0
20,2020-02-02,162.0,27,0.3,▲,12.0
21,2020-02-03,163.0,32,1.0,▲,13.0
22,2020-02-04,161.5,34,-1.5,▼,12.0
23,2020-02-05,160.0,34,-1.5,▼,11.0
24,2020-02-06,158.5,30,-1.5,▼,10.0
25,2020-02-07,157.0,38,-1.5,▼,9.0
26,2020-02-08,155.5,38,-1.5,▼,8.0
27,2020-02-09,157.0,42,1.5,▲,9.0
28,2020-02-10,156.0,28,-1.0,▼,8.0
29,2020-02-11,157.5,22,1.5,▲,9.0
30,2020-02-12,159.0,25,1.5,▲,10.0
31,2020-02-13,159.5,32,0.5,▲,11.0
32,2020-02-14,157.0,22,-2.5,▼,10.0
33,2020-02-15,156.0,37,-1.0,▼,9.0
34,2020-02-16,154.5,36,-1.5,▼,8.0
35,2020-02-17,153.0,38,-1.5,▼,7.0
36,2020-02-18,152.4,28,-0.6,▼,6.0
37,2020-02-19,154.4,30,2.0,▲,7.0
38,2020-02-20,156.4,26,2.0,▲,8.0
39,2020-02-21,157.9,25,1.5,▲,9.0
40,2020-02-22,159.2,21,1.3,▲,10.0
41,2020-02-23,159.8,28,0.6,▲,11.0
42,2020-02-24,161.2,30,1.4,▲,12.0
43,2020-02-25,161.8,30,0.6,▲,13.0
44,2020-02-26,162.7,26,0.9,▲,14.0
45,2020-02-27,163.7,27,1.0,▲,15.0
46,2020-02-28,164.6,31,0.9,▲,16.0
47,2020-02-29,164.7,12,0.1,▲,17.0
48,2020-03-01,164.6,36,-0.1,▼,16.0
49,2020-03-02,165.6,23,1.0,▲,17.0
50,2020-03-03,166.6,21,1.0,▲,18.0
51,2020-03-04,167.5,16,0.9,▲,19.0
52,2020-03-05,167.8,37,0.3,▲,20.0
53,2020-03-06,169.3,30,1.5,▲,21.0
54,2020-03-07,169.4,63,0.1,▲,22.0
55,2020-03-08,169.6,32,0.2,▲,23.0
56,2020-03-09,170.3,26,0.7,▲,24.0
57,2020-03-10,171.0,28,0.7,▲,25.0
58,2020-03-11,171.0,34,0.0,-,25.0
59,2020-03-12,171.0,43,0.0,-,25.0
60,2020-03-13,171.0,27,0.0,-,25.0
61,2020-03-14,170.0,32,-1.0,▼,24.0
62,2020-03-15,169.5,37,-0.5,▼,23.0
63,2020-03-16,170.3,27,0.8,▲,24.0
64,2020-03-17,170.3,34,0.0,-,24.0
65,2020-03-18,169.3,36,-1.0,▼,23.0
66,2020-03-19,169.6,21,0.3,▲,24.0
67,2020-03-20,169.4,39,-0.2,▼,23.0
68,2020-03-21,167.6,32,-1.8,▼,22.0
69,2020-03-22,166.5,41,-1.1,▼,21.0
70,2020-03-23,166.5,26,0.0,-,21.0
71,2020-03-24,166.0,31,-0.5,▼,20.0
72,2020-03-25,164.8,35,-1.2,▼,19.0
73,2020-03-26,165.7,38,0.9,▲,20.0
74,2020-03-27,166.3,32,0.6,▲,21.0
75,2020-03-28,166.3,53,0.0,-,21.0
76,2020-03-29,166.0,39,-0.3,▼,20.0
77,2020-03-30,166.9,34,0.9,▲,21.0
78,2020-03-31,166.0,39,-0.9,▼,20.0
79,2020-04-01,164.5,69,-1.5,▼,19.0
80,2020-04-02,165.0,70,0.5,▲,20.0
81,2020-04-03,165.9,23,0.9,▲,21.0
82,2020-04-04,166.3,61,0.4,▲,22.0
83,2020-04-05,167.2,55,0.9,▲,23.0
84,2020-04-06,168.2,41,1.0,▲,24.0
85,2020-04-07,168.7,51,0.5,▲,25.0
86,2020-04-08,168.8,38,0.1,▲,26.0
87,2020-04-09,168.9,37,0.1,▲,27.0
88,2020-04-10,168.0,53,-0.9,▼,26.0
89,2020-04-11,169.0,46,1.0,▲,27.0
90,2020-04-12,169.0,53,0.0,-,27.0
91,2020-04-13,169.0,46,0.0,-,27.0
92,2020-04-14,169.0,54,0.0,-,27.0
