,last_seen,user,status_data,platinum,order_type
7,2020-03-18,Mazver,ingame,299.0,sell
13,2020-03-18,Gucci..,ingame,350.0,sell
15,2020-03-18,Snaky138,ingame,345.0,sell
18,2020-03-18,PSvsXBOX,ingame,350.0,sell
25,2020-03-18,lazynikolas,online,350.0,sell
29,2020-03-18,--Prime01Jok3r--,ingame,400.0,sell
41,2020-03-18,Sig.Watda,ingame,300.0,sell
50,2020-03-18,Darkandgel,ingame,300.0,sell
52,2020-03-18,Zarucard,ingame,285.0,sell
56,2020-03-18,pr0.man,online,400.0,sell
57,2020-03-18,ladon1357,ingame,700.0,sell
89,2020-03-18,Chytruseczek,ingame,280.0,sell
100,2020-03-18,.DF.Anubis.,ingame,400.0,sell
110,2020-03-18,HLixir,ingame,650.0,sell
113,2020-03-18,.DF.Kronos.,ingame,400.0,sell
114,2020-03-18,IR4_IR4,ingame,339.0,sell
124,2020-03-18,Yisiscreise,ingame,300.0,sell
125,2020-03-18,tigerpup,ingame,300.0,sell
132,2020-03-18,TFGooD,ingame,350.0,sell
153,2020-03-18,Rogue_Souls,ingame,275.0,sell
173,2020-03-18,NirvashAo,ingame,284.0,sell
176,2020-03-18,-THESTRONGISNOPAINNOGAIN,ingame,320.0,sell
180,2020-03-18,Hystoriic,ingame,450.0,sell
187,2020-03-18,-Sweety-,ingame,348.0,sell
198,2020-03-18,--DK--zuArkh,ingame,297.0,sell
200,2020-03-18,Hatware,ingame,300.0,sell
201,2020-03-18,Idese,ingame,289.0,sell
207,2020-03-18,bieyv,ingame,300.0,sell
212,2020-03-18,Wlucky,ingame,320.0,sell
213,2020-03-18,VEZ1Rtr,online,300.0,sell
217,2020-03-18,Manipulatorsink,ingame,320.0,sell
230,2020-03-18,emkpro,ingame,400.0,sell
263,2020-03-18,Dr.kinggggg,ingame,280.0,sell
264,2020-03-18,Dr.kinggggg,ingame,300.0,sell
265,2020-03-18,Goblin_au,ingame,350.0,sell
266,2020-03-18,TimberLaw,ingame,325.0,sell
267,2020-03-18,-Leo-215.craman-,ingame,285.0,sell
270,2020-03-18,Hafemannus,ingame,350.0,sell
275,2020-03-18,Ferrocene_,ingame,300.0,sell
276,2020-03-18,bucblizzard,ingame,299.0,sell
284,2020-03-18,WinterMach,online,300.0,sell
285,2020-03-18,WinterMach,online,350.0,sell
290,2020-03-18,YourFatherSmelt,ingame,320.0,sell
292,2020-03-18,GigaFord,ingame,300.0,sell
314,2020-03-18,Lahne,ingame,1999.0,sell
318,2020-03-18,Spiderbot,ingame,300.0,sell
340,2020-03-18,milk0611,ingame,300.0,sell
357,2020-03-18,emkpro,ingame,300.0,sell
363,2020-03-18,23_flash_23,ingame,320.0,sell
402,2020-03-18,-3EBC-,ingame,300.0,sell
414,2020-03-18,MIniFantasy,ingame,350.0,sell
424,2020-03-18,Visi-saticron,ingame,300.0,sell
428,2020-03-18,Tysonator,ingame,350.0,sell
472,2020-03-18,Chaso_evil,ingame,300.0,sell
482,2020-03-18,SORTROS,ingame,300.0,sell
484,2020-03-18,Filter6,ingame,298.0,sell
489,2020-03-18,lullabies_jay,ingame,300.0,sell
492,2020-03-18,yoopro,ingame,290.0,sell
498,2020-03-18,sunleeai,ingame,280.0,sell
512,2020-03-18,Hi_Im_Gauss,ingame,280.0,sell
513,2020-03-18,N.E.0.N,ingame,300.0,sell
516,2020-03-18,Jay5200408,ingame,400.0,sell
