,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-01-13,44.9,10,0.0,-,0.0,0.0
1,2020-01-14,44.4,17,-0.5,▼,-1.0,-1.1
2,2020-01-15,52.0,11,7.6,▲,0.0,17.1
3,2020-01-16,57.6,9,5.6,▲,1.0,10.8
4,2020-01-17,57.9,6,0.3,▲,2.0,0.5
5,2020-01-18,57.5,7,-0.4,▼,1.0,-0.7
6,2020-01-19,57.5,17,0.0,-,1.0,0.0
7,2020-01-20,50.4,10,-7.1,▼,0.0,-12.3
8,2020-01-21,45.7,7,-4.7,▼,-1.0,-9.3
9,2020-01-22,46.2,9,0.5,▲,0.0,1.1
10,2020-01-23,47.9,24,1.7,▲,1.0,3.7
11,2020-01-24,45.9,11,-2.0,▼,0.0,-4.2
12,2020-01-25,46.2,16,0.3,▲,1.0,0.7
13,2020-01-26,45.9,10,-0.3,▼,0.0,-0.6
14,2020-01-27,46.1,11,0.2,▲,1.0,0.4
15,2020-01-28,46.1,9,0.0,-,1.0,0.0
16,2020-01-29,48.6,8,2.5,▲,2.0,5.4
17,2020-01-30,49.7,12,1.1,▲,3.0,2.3
18,2020-01-31,50.1,8,0.4,▲,4.0,0.8
19,2020-02-01,50.0,6,-0.1,▼,3.0,-0.2
20,2020-02-02,50.2,17,0.2,▲,4.0,0.4
21,2020-02-03,50.2,5,0.0,-,4.0,0.0
22,2020-02-04,49.2,10,-1.0,▼,3.0,-2.0
23,2020-02-05,48.8,5,-0.4,▼,2.0,-0.8
24,2020-02-06,49.8,13,1.0,▲,3.0,2.0
25,2020-02-07,49.3,11,-0.5,▼,2.0,-1.0
26,2020-02-08,51.8,8,2.5,▲,3.0,5.1
27,2020-02-09,51.8,8,0.0,-,3.0,0.0
28,2020-02-10,52.0,5,0.2,▲,4.0,0.4
29,2020-02-11,50.6,7,-1.4,▼,3.0,-2.7
30,2020-02-12,50.6,9,0.0,-,3.0,0.0
31,2020-02-13,48.5,8,-2.1,▼,2.0,-4.2
32,2020-02-14,47.3,14,-1.2,▼,1.0,-2.5
33,2020-02-15,46.6,13,-0.7,▼,0.0,-1.5
34,2020-02-16,46.4,5,-0.2,▼,-1.0,-0.4
35,2020-02-17,46.4,9,0.0,-,-1.0,0.0
36,2020-02-18,45.5,7,-0.9,▼,-2.0,-1.9
37,2020-02-19,45.5,6,0.0,-,-2.0,0.0
38,2020-02-20,46.5,11,1.0,▲,-1.0,2.2
39,2020-02-21,46.6,24,0.1,▲,0.0,0.2
40,2020-02-22,46.8,11,0.2,▲,1.0,0.4
41,2020-02-23,46.4,21,-0.4,▼,0.0,-0.9
42,2020-02-24,47.6,7,1.2,▲,1.0,2.6
43,2020-02-25,47.5,9,-0.1,▼,0.0,-0.2
44,2020-02-26,47.6,17,0.1,▲,1.0,0.2
45,2020-02-27,47.4,5,-0.2,▼,0.0,-0.4
46,2020-02-28,43.9,12,-3.5,▼,-1.0,-7.4
47,2020-02-29,43.7,13,-0.2,▼,-2.0,-0.5
48,2020-03-01,43.2,10,-0.5,▼,-3.0,-1.1
49,2020-03-02,43.4,10,0.2,▲,-2.0,0.5
50,2020-03-03,43.9,10,0.5,▲,-1.0,1.2
51,2020-03-04,48.8,7,4.9,▲,0.0,11.2
52,2020-03-05,48.1,10,-0.7,▼,-1.0,-1.4
53,2020-03-06,48.2,8,0.1,▲,0.0,0.2
54,2020-03-07,47.5,19,-0.7,▼,-1.0,-1.5
55,2020-03-08,47.0,14,-0.5,▼,-2.0,-1.1
56,2020-03-09,47.0,8,0.0,-,-2.0,0.0
57,2020-03-10,47.0,14,0.0,-,-2.0,0.0
58,2020-03-11,47.0,16,0.0,-,-2.0,0.0
59,2020-03-12,47.8,15,0.8,▲,-1.0,1.7
60,2020-03-13,47.8,10,0.0,-,-1.0,0.0
61,2020-03-14,47.8,16,0.0,-,-1.0,0.0
62,2020-03-15,47.8,8,0.0,-,-1.0,0.0
63,2020-03-16,48.3,18,0.5,▲,0.0,1.0
64,2020-03-17,48.4,12,0.1,▲,1.0,0.2
65,2020-03-18,48.6,17,0.2,▲,2.0,0.4
66,2020-03-19,48.5,8,-0.1,▼,1.0,-0.2
67,2020-03-20,48.0,18,-0.5,▼,0.0,-1.0
68,2020-03-21,46.5,20,-1.5,▼,-1.0,-3.1
69,2020-03-22,45.6,23,-0.9,▼,-2.0,-1.9
70,2020-03-23,44.9,11,-0.7,▼,-3.0,-1.5
71,2020-03-24,44.0,8,-0.9,▼,-4.0,-2.0
72,2020-03-25,45.0,14,1.0,▲,-3.0,2.3
73,2020-03-26,46.4,15,1.4,▲,-2.0,3.1
74,2020-03-27,47.2,14,0.8,▲,-1.0,1.7
75,2020-03-28,48.2,10,1.0,▲,0.0,2.1
76,2020-03-29,49.0,10,0.8,▲,1.0,1.7
77,2020-03-30,48.8,11,-0.2,▼,0.0,-0.4
78,2020-03-31,48.8,16,0.0,-,0.0,0.0
79,2020-04-01,49.0,13,0.2,▲,1.0,0.4
80,2020-04-02,48.9,11,-0.1,▼,0.0,-0.2
81,2020-04-03,48.5,27,-0.4,▼,-1.0,-0.8
82,2020-04-04,48.2,15,-0.3,▼,-2.0,-0.6
83,2020-04-05,46.8,17,-1.4,▼,-3.0,-2.9
84,2020-04-06,46.8,16,0.0,-,-3.0,0.0
85,2020-04-07,46.7,13,-0.1,▼,-4.0,-0.2
86,2020-04-08,47.3,20,0.6,▲,-3.0,1.3
87,2020-04-09,47.7,10,0.4,▲,-2.0,0.8
88,2020-04-10,44.3,21,-3.4,▼,-3.0,-7.1
89,2020-04-11,43.8,14,-0.5,▼,-4.0,-1.1
90,2020-04-12,43.4,17,-0.4,▼,-5.0,-0.9
91,2020-04-13,42.4,13,-1.0,▼,-6.0,-2.3
92,2020-04-14,42.8,12,0.4,▲,-5.0,0.9
93,2020-04-15,46.2,16,3.4,▲,-4.0,7.9
94,2020-04-16,46.2,11,0.0,-,-4.0,0.0
95,2020-04-17,45.3,15,-0.9,▼,-5.0,-1.9
96,2020-04-18,46.3,21,1.0,▲,-4.0,2.2
97,2020-04-19,45.0,15,-1.3,▼,-5.0,-2.8
98,2020-04-20,46.5,13,1.5,▲,-4.0,3.3
99,2020-04-21,46.9,5,0.4,▲,-3.0,0.9
100,2020-04-22,48.4,17,1.5,▲,-2.0,3.2
101,2020-04-23,48.3,10,-0.1,▼,-3.0,-0.2
102,2020-04-24,49.3,9,1.0,▲,-2.0,2.1
103,2020-04-25,49.3,15,0.0,-,-2.0,0.0
104,2020-04-26,49.4,18,0.1,▲,-1.0,0.2
105,2020-04-27,47.9,13,-1.5,▼,-2.0,-3.0
106,2020-04-28,47.8,16,-0.1,▼,-3.0,-0.2
107,2020-04-29,47.8,18,0.0,-,-3.0,0.0
108,2020-04-30,48.1,14,0.3,▲,-2.0,0.6
109,2020-05-01,48.0,10,-0.1,▼,-3.0,-0.2
110,2020-05-02,49.0,23,1.0,▲,-2.0,2.1
111,2020-05-03,49.1,14,0.1,▲,-1.0,0.2
112,2020-05-04,48.6,17,-0.5,▼,-2.0,-1.0
113,2020-05-05,48.2,7,-0.4,▼,-3.0,-0.8
114,2020-05-06,47.8,14,-0.4,▼,-4.0,-0.8
115,2020-05-07,47.8,19,0.0,-,-4.0,0.0
116,2020-05-08,47.7,10,-0.1,▼,-5.0,-0.2
