,last_seen,user,status_data,platinum,order_type
403,2020-03-07,Solanium,ingame,125.0,sell
12,2020-03-07,kanoOm,ingame,129.0,sell
22,2020-03-07,Alexsis911,ingame,130.0,sell
257,2020-03-06,oliverqueen2150,ingame,138.0,sell
342,2020-03-07,SmogJumper,ingame,140.0,sell
189,2020-03-07,Wyrern,ingame,140.0,sell
415,2020-03-07,moz73kr20,ingame,140.0,sell
95,2020-03-07,Cantodea,ingame,140.0,sell
382,2020-03-07,MichelTielNL,ingame,145.0,sell
159,2020-03-07,MAX.Natur,ingame,150.0,sell
105,2020-03-07,EidolonLure,ingame,150.0,sell
57,2020-03-07,ilson,ingame,150.0,sell
271,2020-03-06,Arctic.Bear,ingame,150.0,sell
288,2020-03-07,Nakatanai,ingame,150.0,sell
19,2020-03-07,razorstrike,ingame,150.0,sell
397,2020-03-07,NemorizDevil,ingame,115.0,sell
233,2020-03-06,DrinkTee,ingame,140.0,sell
169,2020-03-07,ThreeChimes,ingame,150.0,sell
140,2020-03-07,-BM-SniperKitten,ingame,175.0,sell
114,2020-03-07,fryhtan6,ingame,145.0,sell
145,2020-03-07,TimberLaw,ingame,150.0,sell
297,2020-03-07,AlanGames28,ingame,200.0,sell
161,2020-03-07,123power4,ingame,280.0,sell
192,2020-03-03,nilatac,offline,100.0,sell
384,2020-03-06,omertolik,offline,100.0,sell
375,2020-03-05,Mert8,offline,100.0,sell
340,2020-03-02,-IA-PLAD,offline,100.0,sell
213,2020-03-04,.Shizo.,offline,100.0,sell
129,2018-09-28,FatinatorBaginator,offline,100.0,sell
331,2020-03-01,Perogok,offline,110.0,sell
272,2020-03-03,Mjodgor,offline,110.0,sell
328,2020-02-29,songwarm,offline,110.0,sell
158,2020-03-06,-COLNAGO-,offline,110.0,sell
364,2020-03-06,Scythian_Reaper,offline,110.0,sell
117,2020-03-02,-DC-eXcellent,offline,110.0,sell
206,2020-03-02,CountryDank,offline,110.0,sell
82,2020-03-01,DeadKid1990,offline,114.0,sell
146,2020-03-06,Archangelin,offline,115.0,sell
171,2020-03-07,Raskolnikov13,offline,115.0,sell
