,datetime,avg_price
0,2019-12-27,70.0
1,2019-12-28,67.5
2,2019-12-29,70.0
3,2019-12-30,63.0
4,2019-12-31,72.5
5,2020-01-01,70.5
6,2020-01-02,71.5
7,2020-01-03,69.0
8,2020-01-04,70.0
9,2020-01-05,72.5
10,2020-01-06,69.0
11,2020-01-07,70.0
12,2020-01-08,77.5
13,2020-01-09,82.0
14,2020-01-10,77.0
15,2020-01-11,72.5
16,2020-01-12,75.0
17,2020-01-13,77.5
18,2020-01-14,90.0
19,2020-01-15,80.0
20,2020-01-16,77.5
21,2020-01-17,72.5
22,2020-01-18,79.5
23,2020-01-19,80.0
24,2020-01-20,79.5
25,2020-01-21,80.0
26,2020-01-22,87.5
27,2020-01-23,82.5
28,2020-01-24,85.0
29,2020-01-25,87.5
30,2020-01-26,85.0
31,2020-01-27,84.5
32,2020-01-28,84.5
33,2020-01-29,91.0
34,2020-01-30,95.0
35,2020-01-31,79.5
36,2020-02-01,83.5
37,2020-02-02,89.5
38,2020-02-03,89.5
39,2020-02-04,90.0
40,2020-02-05,92.5
41,2020-02-06,90.0
42,2020-02-07,90.0
43,2020-02-08,85.0
44,2020-02-09,84.0
45,2020-02-10,85.0
46,2020-02-11,75.0
47,2020-02-12,87.5
48,2020-02-13,81.5
49,2020-02-14,80.0
50,2020-02-15,79.5
51,2020-02-16,80.0
52,2020-02-17,80.0
53,2020-02-18,85.0
54,2020-02-19,82.0
55,2020-02-20,82.5
56,2020-02-21,82.5
57,2020-02-22,82.0
58,2020-02-23,84.5
59,2020-02-24,82.5
60,2020-02-25,85.0
61,2020-02-26,82.5
62,2020-02-27,85.0
63,2020-02-28,83.5
64,2020-02-29,86.0
65,2020-03-01,87.5
66,2020-03-02,89.0
67,2020-03-03,89.0
68,2020-03-04,89.0
69,2020-03-05,91.0
70,2020-03-06,84.5
71,2020-03-07,89.0
72,2020-03-08,85.0
73,2020-03-09,87.5
74,2020-03-10,90.0
75,2020-03-11,88.5
76,2020-03-12,90.0
77,2020-03-13,90.0
78,2020-03-14,85.0
79,2020-03-15,85.0
80,2020-03-16,87.0
81,2020-03-17,87.5
82,2020-03-18,88.5
83,2020-03-19,88.0
84,2020-03-20,82.5
85,2020-03-21,90.0
86,2020-03-22,87.0
87,2020-03-23,86.0
88,2020-03-24,85.0
