,datetime,avg_price,volume,day_before,yn_before,lank
0,2020-01-13,76.8,18,0.0,-,0.0
1,2020-01-14,78.4,27,1.6,▲,1.0
2,2020-01-15,79.0,23,0.6,▲,2.0
3,2020-01-16,80.0,22,1.0,▲,3.0
4,2020-01-17,79.5,28,-0.5,▼,2.0
5,2020-01-18,79.9,22,0.4,▲,3.0
6,2020-01-19,77.9,33,-2.0,▼,2.0
7,2020-01-20,77.8,18,-0.1,▼,1.0
8,2020-01-21,78.3,22,0.5,▲,2.0
9,2020-01-22,81.3,33,3.0,▲,3.0
10,2020-01-23,81.9,26,0.6,▲,4.0
11,2020-01-24,82.9,18,1.0,▲,5.0
12,2020-01-25,84.5,30,1.6,▲,6.0
13,2020-01-26,85.5,25,1.0,▲,7.0
14,2020-01-27,84.9,16,-0.6,▼,6.0
15,2020-01-28,85.3,23,0.4,▲,7.0
16,2020-01-29,86.5,10,1.2,▲,8.0
17,2020-01-30,88.0,22,1.5,▲,9.0
18,2020-01-31,86.9,17,-1.1,▼,8.0
19,2020-02-01,86.7,24,-0.2,▼,7.0
20,2020-02-02,87.7,25,1.0,▲,8.0
21,2020-02-03,87.4,16,-0.3,▼,7.0
22,2020-02-04,86.4,19,-1.0,▼,6.0
23,2020-02-05,89.0,14,2.6,▲,7.0
24,2020-02-06,90.3,9,1.3,▲,8.0
25,2020-02-07,90.4,24,0.1,▲,9.0
26,2020-02-08,89.5,26,-0.9,▼,8.0
27,2020-02-09,88.3,19,-1.2,▼,7.0
28,2020-02-10,86.8,20,-1.5,▼,6.0
29,2020-02-11,83.8,24,-3.0,▼,5.0
30,2020-02-12,83.3,16,-0.5,▼,4.0
31,2020-02-13,82.6,26,-0.7,▼,3.0
32,2020-02-14,81.8,32,-0.8,▼,2.0
33,2020-02-15,80.7,33,-1.1,▼,1.0
34,2020-02-16,81.7,45,1.0,▲,2.0
35,2020-02-17,80.2,27,-1.5,▼,1.0
36,2020-02-18,80.9,34,0.7,▲,2.0
37,2020-02-19,81.3,17,0.4,▲,3.0
38,2020-02-20,81.9,25,0.6,▲,4.0
39,2020-02-21,82.4,24,0.5,▲,5.0
40,2020-02-22,82.8,47,0.4,▲,6.0
41,2020-02-23,82.7,31,-0.1,▼,5.0
42,2020-02-24,82.8,26,0.1,▲,6.0
43,2020-02-25,83.3,32,0.5,▲,7.0
44,2020-02-26,83.3,31,0.0,-,7.0
45,2020-02-27,83.9,20,0.6,▲,8.0
46,2020-02-28,83.7,34,-0.2,▼,7.0
47,2020-02-29,84.4,27,0.7,▲,8.0
48,2020-03-01,84.9,18,0.5,▲,9.0
49,2020-03-02,86.2,13,1.3,▲,10.0
50,2020-03-03,87.0,11,0.8,▲,11.0
51,2020-03-04,88.1,41,1.1,▲,12.0
52,2020-03-05,89.1,11,1.0,▲,13.0
53,2020-03-06,88.5,33,-0.6,▼,12.0
54,2020-03-07,88.5,35,0.0,-,12.0
55,2020-03-08,87.7,39,-0.8,▼,11.0
56,2020-03-09,87.4,20,-0.3,▼,10.0
57,2020-03-10,87.2,32,-0.2,▼,9.0
58,2020-03-11,88.0,29,0.8,▲,10.0
59,2020-03-12,88.2,29,0.2,▲,11.0
60,2020-03-13,89.2,29,1.0,▲,12.0
61,2020-03-14,88.7,32,-0.5,▼,11.0
62,2020-03-15,87.7,42,-1.0,▼,10.0
63,2020-03-16,87.4,22,-0.3,▼,9.0
64,2020-03-17,86.9,27,-0.5,▼,8.0
65,2020-03-18,86.6,22,-0.3,▼,7.0
66,2020-03-19,87.2,26,0.6,▲,8.0
67,2020-03-20,86.7,44,-0.5,▼,7.0
68,2020-03-21,87.3,28,0.6,▲,8.0
69,2020-03-22,87.2,42,-0.1,▼,7.0
70,2020-03-23,86.7,30,-0.5,▼,6.0
71,2020-03-24,86.1,32,-0.6,▼,5.0
72,2020-03-25,87.1,31,1.0,▲,6.0
73,2020-03-26,87.1,20,0.0,-,6.0
74,2020-03-27,85.7,24,-1.4,▼,5.0
75,2020-03-28,85.5,50,-0.2,▼,4.0
76,2020-03-29,85.5,31,0.0,-,4.0
77,2020-03-30,85.9,35,0.4,▲,5.0
78,2020-03-31,85.8,30,-0.1,▼,4.0
79,2020-04-01,87.6,29,1.8,▲,5.0
80,2020-04-02,88.6,42,1.0,▲,6.0
81,2020-04-03,88.6,35,0.0,-,6.0
82,2020-04-04,87.5,41,-1.1,▼,5.0
83,2020-04-05,87.1,40,-0.4,▼,4.0
84,2020-04-06,87.3,40,0.2,▲,5.0
85,2020-04-07,87.3,40,0.0,-,5.0
86,2020-04-08,87.3,39,0.0,-,5.0
87,2020-04-09,88.0,39,0.7,▲,6.0
88,2020-04-10,87.5,46,-0.5,▼,5.0
89,2020-04-11,87.0,44,-0.5,▼,4.0
90,2020-04-12,86.0,36,-1.0,▼,3.0
91,2020-04-13,86.0,44,0.0,-,3.0
92,2020-04-14,86.5,33,0.5,▲,4.0
