,last_seen,user,status_data,platinum,order_type
373,2020-03-07,Hot_Qiu,ingame,100.0,sell
414,2020-03-07,Dramatzero,ingame,100.0,sell
415,2020-03-07,DOTTRAM,ingame,100.0,sell
357,2020-03-07,lintigrt,ingame,110.0,sell
146,2020-03-07,ytZZZZ,ingame,120.0,sell
170,2020-03-07,kakuruya,ingame,130.0,sell
30,2020-03-07,Mad_Hawk,ingame,140.0,sell
148,2020-03-07,tamagofurikake,ingame,140.0,sell
160,2020-03-07,bobospider431,ingame,140.0,sell
252,2020-03-07,yuntun,ingame,140.0,sell
413,2020-03-07,L-G-R,ingame,140.0,sell
22,2020-03-07,Marvadinho,ingame,250.0,sell
340,2020-03-07,Zhengbiubiu,ingame,95.0,sell
366,2020-03-07,DrinkTee,ingame,100.0,sell
223,2020-03-07,JuiceO3,ingame,100.0,sell
79,2020-03-07,chijiji,ingame,102.0,sell
18,2020-03-07,Se7veN79,ingame,140.0,sell
98,2020-03-07,onemorecasual,ingame,140.0,sell
101,2020-03-07,AlanGames28,ingame,140.0,sell
401,2020-03-07,kuthereux,ingame,140.0,sell
152,2020-03-07,BLESS_CY,ingame,150.0,sell
125,2020-03-06,JQLOOL,ingame,150.0,sell
402,2020-03-07,S2kuraNOX,ingame,135.0,sell
100,2020-03-07,Bean2304,ingame,150.0,sell
165,2020-03-07,Ztremex,ingame,200.0,sell
266,2020-03-06,ManW_G,offline,100.0,sell
282,2020-03-06,Evil1spirit,offline,100.0,sell
158,2020-03-06,JaskoPasko,offline,100.0,sell
264,2020-03-06,LunyashaSan,offline,100.0,sell
253,2020-03-07,Baconpoet,offline,100.0,sell
252,2020-03-06,-WAR-Zeus,offline,100.0,sell
244,2020-03-06,briantong0718,offline,100.0,sell
241,2020-03-06,warmen6582,offline,100.0,sell
236,2020-03-07,KAPMAKOMA,offline,100.0,sell
233,2020-03-07,p3rec,offline,100.0,sell
231,2020-03-05,eze87,offline,100.0,sell
208,2020-03-07,Kackos,offline,100.0,sell
209,2020-03-05,LGDYK,offline,100.0,sell
210,2020-03-07,1Soma,offline,100.0,sell
126,2020-03-07,hirietteli,offline,100.0,sell
311,2020-03-07,Boman666,offline,100.0,sell
309,2020-03-06,Wisp-Waifu,offline,100.0,sell
307,2020-03-05,GoldenGnome,offline,100.0,sell
306,2020-03-05,BadBob1002,offline,100.0,sell
302,2020-03-07,Finalyx,offline,100.0,sell
301,2020-03-07,Ekzorts1st1k,offline,100.0,sell
219,2020-03-05,dontdodatdave,offline,100.0,sell
299,2020-03-07,Cold.Inside,offline,100.0,sell
294,2020-03-06,KWSW-YXX,offline,100.0,sell
181,2020-03-08,xiao-luoyue,offline,100.0,sell
365,2020-03-07,HolyThetility,offline,100.0,sell
189,2020-03-08,SiriusBlack007,ingame,100.0,sell
388,2020-03-08,Shubutnoy,ingame,100.0,sell
177,2020-03-08,Lucky-SCP-914,ingame,100.0,sell
201,2020-03-08,Fright_Nights,ingame,105.0,sell
339,2020-03-08,kunshouQWQ,ingame,120.0,sell
382,2020-03-08,.kOzz,ingame,120.0,sell
251,2020-03-08,xSeikox,ingame,128.0,sell
147,2020-03-08,KlSSMy4SS,ingame,139.0,sell
375,2020-03-08,MouwikiNTC,ingame,145.0,sell
213,2020-03-08,JHips,ingame,149.0,sell
35,2020-03-08,alexpastaz,ingame,150.0,sell
79,2020-03-08,I_NightStAr_I,ingame,160.0,sell
12,2020-03-08,Helen408,ingame,180.0,sell
370,2020-03-07,ApeOfNaples,online,100.0,sell
120,2020-03-08,RadamanthysDeWyvern,ingame,130.0,sell
326,2020-03-08,Sophia,online,140.0,sell
354,2020-03-08,408473445,ingame,150.0,sell
344,2020-03-08,asd782002927,online,100.0,sell
349,2020-03-08,Carl_or_Kaer,ingame,100.0,sell
341,2020-03-08,WF_Miska,ingame,110.0,sell
363,2020-03-08,Zzzjy94,ingame,120.0,sell
357,2020-03-08,sKanim,online,120.0,sell
117,2020-03-08,MixaUFA,ingame,120.0,sell
330,2020-03-08,XiaoAi521,ingame,130.0,sell
359,2020-03-08,Sword70,ingame,132.0,sell
361,2020-03-08,Olgrik,ingame,135.0,sell
360,2020-03-08,xiaosage2,ingame,135.0,sell
348,2020-03-08,DuperDoge,ingame,140.0,sell
343,2020-03-08,ThrillingWrath,ingame,120.0,sell
348,2020-03-08,Nitrofor,ingame,140.0,sell
274,2020-03-08,EasyLizzie,ingame,140.0,sell
