,datetime,avg_price
0,2019-12-27,50.0
1,2019-12-28,51.5
2,2019-12-29,47.5
3,2019-12-30,49.0
4,2019-12-31,49.5
5,2020-01-01,50.0
6,2020-01-02,49.0
7,2020-01-03,47.5
8,2020-01-04,45.5
9,2020-01-05,45.0
10,2020-01-06,50.0
11,2020-01-07,50.0
12,2020-01-08,50.0
13,2020-01-09,49.0
14,2020-01-10,49.0
15,2020-01-11,48.5
16,2020-01-12,46.5
17,2020-01-13,48.5
18,2020-01-14,49.0
19,2020-01-15,48.5
20,2020-01-16,47.5
21,2020-01-17,45.0
22,2020-01-18,49.0
23,2020-01-19,48.5
24,2020-01-20,50.0
25,2020-01-21,49.0
26,2020-01-22,50.0
27,2020-01-23,49.5
28,2020-01-24,48.0
29,2020-01-25,50.0
30,2020-01-26,49.5
31,2020-01-27,46.5
32,2020-01-28,47.5
33,2020-01-29,50.0
34,2020-01-30,50.0
35,2020-01-31,49.0
36,2020-02-01,44.5
37,2020-02-02,45.0
38,2020-02-03,50.0
39,2020-02-04,48.5
40,2020-02-05,50.0
41,2020-02-06,50.0
42,2020-02-07,50.0
43,2020-02-08,49.5
44,2020-02-09,50.0
45,2020-02-10,49.5
46,2020-02-11,50.5
47,2020-02-12,50.0
48,2020-02-13,49.0
49,2020-02-14,50.0
50,2020-02-15,48.5
51,2020-02-16,50.0
52,2020-02-17,50.0
53,2020-02-18,50.0
54,2020-02-19,50.0
55,2020-02-20,50.0
56,2020-02-21,50.0
57,2020-02-22,50.5
58,2020-02-23,50.0
59,2020-02-24,50.0
60,2020-02-25,48.0
61,2020-02-26,50.5
62,2020-02-27,49.0
63,2020-02-28,50.0
64,2020-02-29,48.5
65,2020-03-01,47.0
66,2020-03-02,49.5
67,2020-03-03,50.0
68,2020-03-04,50.0
69,2020-03-05,49.5
70,2020-03-06,50.0
71,2020-03-07,50.0
72,2020-03-08,48.5
73,2020-03-09,50.0
74,2020-03-10,50.0
75,2020-03-11,48.5
76,2020-03-12,50.0
77,2020-03-13,49.0
78,2020-03-14,49.5
79,2020-03-15,47.5
80,2020-03-16,47.5
81,2020-03-17,45.0
82,2020-03-18,48.5
83,2020-03-19,47.5
84,2020-03-20,47.5
85,2020-03-21,42.0
86,2020-03-22,48.5
87,2020-03-23,45.0
88,2020-03-24,45.0
