,datetime,avg_price,volume,day_before,yn_before,lank
0,2020-01-13,46.1,57,0.0,-,0.0
1,2020-01-14,46.4,51,0.3,▲,1.0
2,2020-01-15,46.6,57,0.2,▲,2.0
3,2020-01-16,49.0,36,2.4,▲,3.0
4,2020-01-17,50.7,47,1.7,▲,4.0
5,2020-01-18,50.7,62,0.0,-,4.0
6,2020-01-19,50.7,51,0.0,-,4.0
7,2020-01-20,53.5,26,2.8,▲,5.0
8,2020-01-21,53.5,34,0.0,-,5.0
9,2020-01-22,54.2,47,0.7,▲,6.0
10,2020-01-23,56.2,43,2.0,▲,7.0
11,2020-01-24,58.0,40,1.8,▲,8.0
12,2020-01-25,56.8,61,-1.2,▼,7.0
13,2020-01-26,57.4,44,0.6,▲,8.0
14,2020-01-27,57.9,43,0.5,▲,9.0
15,2020-01-28,57.7,42,-0.2,▼,8.0
16,2020-01-29,58.5,25,0.8,▲,9.0
17,2020-01-30,59.2,34,0.7,▲,10.0
18,2020-01-31,59.1,43,-0.1,▼,9.0
19,2020-02-01,59.5,56,0.4,▲,10.0
20,2020-02-02,59.8,57,0.3,▲,11.0
21,2020-02-03,59.1,51,-0.7,▼,10.0
22,2020-02-04,59.5,40,0.4,▲,11.0
23,2020-02-05,58.7,36,-0.8,▼,10.0
24,2020-02-06,58.9,55,0.2,▲,11.0
25,2020-02-07,58.9,51,0.0,-,11.0
26,2020-02-08,58.9,52,0.0,-,11.0
27,2020-02-09,59.0,59,0.1,▲,12.0
28,2020-02-10,60.3,57,1.3,▲,13.0
29,2020-02-11,60.8,53,0.5,▲,14.0
30,2020-02-12,60.4,52,-0.4,▼,13.0
31,2020-02-13,61.5,59,1.1,▲,14.0
32,2020-02-14,61.5,66,0.0,-,14.0
33,2020-02-15,59.3,60,-2.2,▼,13.0
34,2020-02-16,56.8,90,-2.5,▼,12.0
35,2020-02-17,57.1,69,0.3,▲,13.0
36,2020-02-18,56.1,67,-1.0,▼,12.0
37,2020-02-19,57.1,46,1.0,▲,13.0
38,2020-02-20,58.6,57,1.5,▲,14.0
39,2020-02-21,60.9,51,2.3,▲,15.0
40,2020-02-22,61.0,82,0.1,▲,16.0
41,2020-02-23,60.8,50,-0.2,▼,15.0
42,2020-02-24,60.7,55,-0.1,▼,14.0
43,2020-02-25,62.0,46,1.3,▲,15.0
44,2020-02-26,62.5,45,0.5,▲,16.0
45,2020-02-27,64.0,40,1.5,▲,17.0
46,2020-02-28,65.7,47,1.7,▲,18.0
47,2020-02-29,65.8,62,0.1,▲,19.0
48,2020-03-01,65.8,56,0.0,-,19.0
49,2020-03-02,66.5,44,0.7,▲,20.0
50,2020-03-03,66.8,53,0.3,▲,21.0
51,2020-03-04,67.3,48,0.5,▲,22.0
52,2020-03-05,68.3,34,1.0,▲,23.0
53,2020-03-06,69.3,45,1.0,▲,24.0
54,2020-03-07,69.3,82,0.0,-,24.0
55,2020-03-08,69.5,83,0.2,▲,25.0
56,2020-03-09,69.5,55,0.0,-,25.0
57,2020-03-10,69.0,65,-0.5,▼,24.0
58,2020-03-11,69.0,79,0.0,-,24.0
59,2020-03-12,69.3,67,0.3,▲,25.0
60,2020-03-13,69.3,64,0.0,-,25.0
61,2020-03-14,69.3,64,0.0,-,25.0
62,2020-03-15,69.7,54,0.4,▲,26.0
63,2020-03-16,69.2,56,-0.5,▼,25.0
64,2020-03-17,68.9,64,-0.3,▼,24.0
65,2020-03-18,68.9,65,0.0,-,24.0
66,2020-03-19,68.7,84,-0.2,▼,23.0
67,2020-03-20,68.8,75,0.1,▲,24.0
68,2020-03-21,69.1,73,0.3,▲,25.0
69,2020-03-22,69.6,74,0.5,▲,26.0
70,2020-03-23,69.6,83,0.0,-,26.0
71,2020-03-24,69.8,65,0.2,▲,27.0
72,2020-03-25,69.3,93,-0.5,▼,26.0
73,2020-03-26,69.3,42,0.0,-,26.0
74,2020-03-27,68.2,77,-1.1,▼,25.0
75,2020-03-28,67.5,103,-0.7,▼,24.0
76,2020-03-29,66.5,105,-1.0,▼,23.0
77,2020-03-30,66.0,70,-0.5,▼,22.0
78,2020-03-31,64.3,75,-1.7,▼,21.0
79,2020-04-01,64.9,81,0.6,▲,22.0
80,2020-04-02,65.2,56,0.3,▲,23.0
81,2020-04-03,65.7,72,0.5,▲,24.0
82,2020-04-04,65.7,95,0.0,-,24.0
83,2020-04-05,67.6,104,1.9,▲,25.0
84,2020-04-06,67.6,72,0.0,-,25.0
85,2020-04-07,67.6,83,0.0,-,25.0
86,2020-04-08,67.8,58,0.2,▲,26.0
87,2020-04-09,68.8,55,1.0,▲,27.0
88,2020-04-10,67.5,81,-1.3,▼,26.0
89,2020-04-11,68.0,36,0.5,▲,27.0
90,2020-04-12,68.3,54,0.3,▲,28.0
91,2020-04-13,68.6,65,0.3,▲,29.0
92,2020-04-14,68.3,67,-0.3,▼,28.0
93,2020-04-15,69.4,49,1.1,▲,29.0
94,2020-04-16,69.9,67,0.5,▲,30.0
95,2020-04-17,70.0,71,0.1,▲,31.0
96,2020-04-18,70.0,79,0.0,-,31.0
97,2020-04-19,70.2,85,0.2,▲,32.0
98,2020-04-20,70.4,74,0.2,▲,33.0
99,2020-04-21,70.4,79,0.0,-,33.0
100,2020-04-22,70.4,78,0.0,-,33.0
101,2020-04-23,70.4,65,0.0,-,33.0
102,2020-04-24,70.4,86,0.0,-,33.0
103,2020-04-25,70.4,88,0.0,-,33.0
