,last_seen,user,status_data,platinum,order_type
12,2020-03-18,Bog-Morfey,ingame,100.0,sell
21,2020-03-18,Mazver,ingame,199.0,sell
24,2020-03-18,vancyfox,ingame,100.0,sell
30,2020-03-18,Beaujolai,ingame,100.0,sell
35,2020-03-18,Gucci..,ingame,250.0,sell
37,2020-03-18,lazynikolas,online,80.0,sell
52,2020-03-18,pr0.man,online,100.0,sell
57,2020-03-18,Sultqn,ingame,80.0,sell
65,2020-03-18,Roman_Voitashevskiy,ingame,100.0,sell
67,2020-03-18,Hasi_Mausi_Buzi_Baerli,ingame,75.0,sell
68,2020-03-18,HLixir,ingame,115.0,sell
75,2020-03-18,fgiveme,ingame,200.0,sell
89,2020-03-18,FrostyDemise,ingame,140.0,sell
133,2020-03-18,-STR-kocalparslan97,ingame,150.0,sell
156,2020-03-18,beast1alias,online,79.0,sell
164,2020-03-18,DeRAnGed_Seal,ingame,80.0,sell
173,2020-03-18,SombraDeLuna,ingame,149.0,sell
178,2020-03-18,.DF.Kronos.,ingame,150.0,sell
182,2020-03-18,OscarClaine,ingame,85.0,sell
183,2020-03-18,PSvsXBOX,ingame,200.0,sell
186,2020-03-18,--Q--Xorent,ingame,200.0,sell
199,2020-03-18,DevilDriverSS,ingame,100.0,sell
223,2020-03-18,MarJuk,online,120.0,sell
232,2020-03-18,_dreal,ingame,108.0,sell
233,2020-03-18,DaySleeper_,online,150.0,sell
236,2020-03-18,lyilan,ingame,100.0,sell
258,2020-03-18,Uzuch1aPr1m3,ingame,100.0,sell
271,2020-03-18,Xitori,ingame,100.0,sell
291,2020-03-18,LanceNoPants,ingame,111.0,sell
300,2020-03-18,Xirah_,ingame,78.0,sell
304,2020-03-18,Staring-Abyss,ingame,80.0,sell
306,2020-03-18,Stormgazer_inthebox,online,140.0,sell
325,2020-03-18,Hafemannus,ingame,300.0,sell
337,2020-03-18,Fluffy_Bunny123,ingame,90.0,sell
348,2020-03-18,IR4_IR4,ingame,190.0,sell
365,2020-03-18,Marsson11,ingame,90.0,sell
370,2020-03-18,artoba84,online,80.0,sell
374,2020-03-18,Defos.74rus,ingame,100.0,sell
380,2020-03-18,RaxTesy,online,80.0,sell
385,2020-03-18,Sig.Watda,ingame,100.0,sell
391,2020-03-18,Ztremex,ingame,150.0,sell
393,2020-03-18,FromOtherLive,ingame,120.0,sell
402,2020-03-18,Toy_Wo,ingame,85.0,sell
411,2020-03-18,Denislam80001,ingame,90.0,sell
428,2020-03-18,milk0611,ingame,130.0,sell
444,2020-03-18,-AI-Yuuki,online,100.0,sell
450,2020-03-18,Wolfys_kun,ingame,100.0,sell
466,2020-03-18,23_flash_23,ingame,130.0,sell
468,2020-03-18,daniel2525,online,100.0,sell
477,2020-03-18,zima12051990,online,100.0,sell
510,2020-03-18,UnderState_,ingame,80.0,sell
515,2020-03-18,TheRealmKiller,ingame,80.0,sell
519,2020-03-18,Toy_Wo,ingame,100.0,sell
520,2020-03-18,Hystoriic,ingame,200.0,sell
540,2020-03-18,-DS-Kathleen-,ingame,75.0,sell
545,2020-03-18,Zergor7,ingame,85.0,sell
554,2020-03-18,Reo_s,ingame,69.0,sell
562,2020-03-18,splif_47,ingame,80.0,sell
570,2020-03-18,Jay5200408,ingame,200.0,sell
592,2020-03-18,ReQeer,ingame,75.0,sell
595,2020-03-18,PeaceTone,ingame,80.0,sell
597,2020-03-18,orgyilkos29,ingame,100.0,sell
608,2020-03-18,Sterkson,ingame,100.0,sell
609,2020-03-18,bluepoison514,ingame,80.0,sell
616,2020-03-18,DawninWF,online,85.0,sell
640,2020-03-18,MalebaS,ingame,70.0,sell
673,2020-03-18,pooryorick_,ingame,75.0,sell
698,2020-03-18,MrBesToR,ingame,68.0,sell
700,2020-03-18,Msr.l,ingame,90.0,sell
704,2020-03-18,PhunPrime,ingame,90.0,sell
706,2020-03-18,ZonderTrak,ingame,85.0,sell
707,2020-03-18,bucblizzard,ingame,129.0,sell
725,2020-03-18,GramCM,ingame,85.0,sell
726,2020-03-18,WolffeOW,online,100.0,sell
727,2020-03-18,Gmailteru,online,70.0,sell
728,2020-03-18,THE_GRUSO,ingame,74.0,sell
